id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
729,"Salata zielona z pomidorem, ogorkiem i olejem",56,90.2,0.9,0,0.9,4.7,3.6,6,152,15,18,7,0.5,0.29,0.05,0.15
730,Salata zielona z olejem,111,84.6,1,0,1,11.6,2.1,3,99,18,15,7,0.5,0.32,0.03,0.21
731,Salata zielona ze smietana,41,91,1.4,0.5,0.9,2.3,4.5,10,113,35,28,8,0.5,0.35,0.03,0.19
732,Surowka z cykorii i jablek,161,78.3,1,0.2,0.8,16.4,3.8,4,130,17,24,7,0.6,0.18,0.09,0.18
733,Surowka z kapusty bialej,67,85.9,1.6,0,1.6,4.7,7,17,204,59,29,12,0.3,0.29,0.03,0.21
734,Surowka z kapusty kwaszonej,68,85.4,0.9,0,0.9,4.7,7.5,176,174,27,15,6,0.4,0.21,0.04,0.12
735,Surowka z marchwi,47,88.5,1.1,0.5,0.6,2.3,7.7,51,199,39,33,11,0.3,0.27,0.07,0.12
736,Surowka z marchwi i jablek,59,81.7,1,0,1,0.3,16.6,70,287,32,30,15,0.5,0.35,0.1,0.19
737,Surowka z ogorkow i pomidorow,32,93,1.1,0.4,0.7,1.8,3.6,14,157,27,28,8,0.3,0.25,0.08,0.08
738,Surowka z owocow,103,73,0.5,0,0.5,0.3,25.9,2,149,11,14,6,0.4,0.13,0.07,0.08
739,Surowka z owocow i warzyw,148,79,1.1,0.4,0.7,14.3,5.1,8,141,12,19,6,0.5,0.26,0.04,0.1
740,Surowka z papryki,91,84.7,1,0,1,7.5,6.3,6,201,15,23,9,0.5,0.23,0.08,0.09
741,Surowka z pomidorow,14,95.4,0.8,0,0.8,0.2,3.2,7,253,8,19,7,0.4,0.23,0.05,0.05
742,Surowka z porow z jablkami,141,77.2,1.7,0.2,1.5,12.5,7.9,5,190,34,42,8,0.9,0.52,0.1,0.13
743,Surowka z rzodkiewki,93,82.5,7.5,6.9,0.6,5.9,3.5,25,147,67,101,9,0.4,0.51,0.03,0.08
744,Surowka z selerow,92,81.8,1.1,0,1.1,7.5,8.9,58,236,27,55,13,0.4,0.4,0.04,0.15
745,"Surowka z selerow, jablek i marchwi",60,81.7,0.9,0,0.9,0.4,16.5,44,240,22,35,11,0.4,0.34,0.06,0.15
